"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"104931-2329913","211","High Road and Sunset Lane","HIGHSSNB","30.467538","-84.312433","","","0","","","1","",""
"104931-2329914","212","High Road and Sunset Lane","HIGHSUNS","30.466827","-84.312605","","","0","","","1","",""
"104931-2329916","216","Old Bainbridge Road and Willamette Road","OLD 216","30.478451","-84.314781","","","0","","","1","",""
"104931-2329917","217","Portland Avenue and Mayfair Road","PORT217","30.47887","-84.316028","","","0","","","1","",""
"104931-2329918","218","Portland Avenue and Old Bainbridge Road","PORT218","30.478765","-84.316005","","","0","","","1","",""
"104931-2329919","219","Portland Avenue and Gothic Drive","PORT219","30.477587","-84.320616","","","0","","","1","",""
"104931-2329920","222","Atlas Road and Portland Avenue","ATLAPORT","30.477413","-84.322952","","","0","","","1","",""
"104931-2329921","224","Hartsfield Road and Atlas Road","HART224","30.473748","-84.322611","","","0","","","1","",""
"104931-2329922","226","Hartsfield Road and Maymeadow Lane","HART226","30.473045","-84.318868","","","0","","","1","",""
"104931-2329923","228","Hartsfield Road and Sylvan Court","HART228","30.473081","-84.316182","","","0","","","1","",""
"104931-2329924","229","Hartsfield Road and High Road","HART229","30.47235","-84.313555","","","0","","","1","",""
"104931-2329925","237","1817 W Call Street","","30.448594","-84.312217","","","0","","","1","",""
"104931-2329926","238","W Call Street and Chapel Drive","CALCHAPL","30.447911","-84.310026","","","0","","","1","",""
"104931-2329927","240","W Call Street and Conradi Street","CALLCONR","30.447264","-84.30815","","","0","","","1","",""
"104931-2329928","242","Stadium Drive and W Call Street","STAD242","30.446197","-84.306358","","","0","","","1","",""
"104931-2329929","245","W Call Street and Psychology Way","W CA245","30.445626","-84.303449","","","0","","","1","",""
"104931-2329931","249","Chieftan Way and Academic Way","KELLUM","30.447031","-84.301994","","","0","","","1","",""
"104931-2329932","252","Academic Way and Antarctic Way","ACAD252","30.446045","-84.298873","","","0","","","1","",""
"104931-2329933","253","Academic Way and Antarctic Way","ACA253","30.446188","-84.29877","","","0","","","0","",""
"104931-2329934","254","W Tennessee Street and Dewey Street","TENNDEWY","30.44458","-84.294178","","","0","","","1","",""
"104931-2329935","255","Oglesby Union","UNION EB","30.444934","-84.296332","","","0","","","1","",""
"104931-2329936","257","W Call Street and Dewey Street","W CA257","30.443533","-84.293419","","","0","","","1","",""
"104931-2329937","258","Pullen Road and Graves Road","PULL258","30.477963","-84.31201","","","0","","","0","",""
"104931-2329938","259","Pullen Road and Graves Road","PULL259","30.478079","-84.312195","","","0","","","0","",""
"104931-2329939","260","Pullen Road and Fred Smith Road","PULL260","30.477982","-84.309039","","","0","","","0","",""
"104931-2329940","262","1375 Pullen Road","","30.478081","-84.306875","","","0","","","0","",""
"104931-2329941","263","Calloway Street and Hospitality Road","CALLOWAY","30.479817","-84.30418","","","0","","","1","",""
"104931-2329942","265","N Monroe Street and Lakeshore Drive","MONRLKSH","30.479135","-84.301293","","","0","","","1","",""
"104931-2329943","268","N Monroe Street and Allen Road","N MO268","30.474288","-84.294653","","","0","","","1","",""
"104931-2329944","271","S Adams Street and W Park Avenue","S AD271","30.441953","-84.282012","","","0","","","1","",""
"104931-2329945","272","S Adams Street and W Park Avenue","S AD272","30.442098","-84.281971","","","0","","","1","",""
"104931-2329946","273","E Park Avenue and S Meridian Street","E PA273","30.441808","-84.277477","","","0","","","1","",""
"104931-2329947","274","E Park Avenue and N Meridian Street","E PA274","30.441955","-84.276885","","","0","","","1","",""
"104931-2329948","277","Governors Square Boulevard and S Magnolia Drive","GOVE277","30.439591","-84.261081","","","0","","","1","",""
"104931-2329949","281","Governors Square Boulevard and Reece Park Lane","GOVE281","30.439172","-84.258005","","","0","","","1","",""
"104931-2329950","283","E Park Avenue and S Calhoun Street","W PA283","30.442286","-84.279487","","","0","","","1","",""
"104931-2329951","284","N Monroe Street and Northwood Center Boulevard","N MO284","30.466137","-84.283961","","","0","","","1","",""
"104931-2329952","285","N Monroe Street and Northwood Center Boulevard","N MO285","30.466245","-84.284249","","","0","","","1","",""
"104931-2329953","286","N Monroe Street and W Bradford Road","N MO286","30.467892","-84.285535","","","0","","","1","",""
"104931-2329954","287","N Monroe Street and John Knox Road","MNRWLGRN","30.471422","-84.290179","","","0","","","1","",""
"104931-2329955","289","N Monroe Street at Tallahassee Mall","MNRMALL","30.472665","-84.291822","","","0","","","1","",""
"104931-2329956","290","N Monroe Street and Silver Slipper Lane","N MO290","30.470522","-84.289384","","","0","","","1","",""
"104931-2329957","291","N Monroe Street and Dellview Drive","N MO291","30.468923","-84.287198","","","0","","","1","",""
"104931-2329958","292","N Monroe Street and W Bradford Road","N MO292","30.467378","-84.285385","","","0","","","1","",""
"104931-2329959","293","Lake Jackson Town Center","FRDGOMNR","30.50262","-84.330968","","","0","","","1","",""
"104931-2329960","295","N Monroe Street and S Lake Ella Drive","LKELLASB","30.461933","-84.281778","","","0","","","1","",""
"104931-2329961","296","N Monroe Street and W 7th Avenue","MNR7THSB","30.458195","-84.280905","","","0","","","1","",""
"104931-2329962","297","N Monroe Street and W 5th Avenue","N MO297","30.454829","-84.280786","","","0","","","1","",""
"104931-2329963","298","N Monroe Street and W 3rd Avenue","N MO298","30.452697","-84.280823","","","0","","","1","",""
"104931-2329964","299","N Monroe Street and W Brevard Street","N MO299","30.449245","-84.280768","","","0","","","1","",""
"104931-2329966","302","N Monroe Street and E Brevard Street","MONBREVD","30.448933","-84.2806","","","0","","","1","",""
"104931-2329967","304","N Monroe Street and W 3rd Avenue","N MO304","30.452461","-84.28065","","","0","","","1","",""
"104931-2329968","305","N Monroe Street and E 5th Avenue","N MO305","30.454591","-84.280655","","","0","","","1","",""
"104931-2329969","306","N Monroe Street and Lake Ella Drive","LKELLANB","30.460958","-84.281235","","","0","","","1","",""
"104931-2329970","307","N Monroe Street and E Tharpe Street","MONTHARP","30.463525","-84.282226","","","0","","","1","",""
"104931-2329971","309","E Park Avenue and S Franklin Boulevard","E PA309","30.441901","-84.274425","","","0","","","1","",""
"104931-2329972","311","E Park Avenue and Cadiz Street","E PA311","30.441831","-84.270759","","","0","","","1","",""
"104931-2329973","312","E Park Avenue and Broward Street","E PA312","30.441708","-84.27005","","","0","","","1","",""
"104931-2329974","313","819 E Park Avenue","819 313","30.4417","-84.268932","","","0","","","1","",""
"104931-2329975","317","E Park Avenue and Smith Street","E PA317","30.441696","-84.264555","","","0","","","1","",""
"104931-2329976","318","E Park Avenue and Oak Street","E PA318","30.441811","-84.266977","","","0","","","1","",""
"104931-2329977","321","E Park Avenue and Hardee Street","PRKHRDEE","30.441815","-84.263075","","","0","","","1","",""
"104931-2329978","325","E Park Avenue and Blairstone Road","E PA325","30.441591","-84.248873","","","0","","","1","",""
